Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
753	753	1	3	2	1	1	2	1
754	754	1	2	1	1	1	1	1
755	755	2	1	2	4	2	0	0
756	756	2	1	1	1	1	1	2
757	757	1	2	3	1	2	1	1
758	758	2	2	2	1	1	1	2
759	759	2	1	2	1	1	1	1
760	760	1	1	1	3	3	1	1
761	761	1	1	1	3	1	2	2
762	762	2	1	2	1	1	1	1
763	763	3	1	1	1	2	1	2
764	764	2	1	1	1	1	1	1
765	765	1	1	1	1	1	1	1
766	766	0	1	1	0	1	1	7
767	767	3	2	1	1	2	1	1
768	768	3	1	1	2	2	1	1
769	769	1	2	1	2	1	1	1
770	770	3	1	1	2	1	1	2
771	771	2	2	2	1	2	1	1
772	772	1	4	3	1	1	1	0
773	773	1	1	2	1	2	0	1
774	774	4	1	1	1	2	1	1
775	775	2	1	1	2	2	1	2
776	776	1	1	1	2	2	1	1
777	777	3	1	1	2	1	1	1
778	778	2	2	2	1	1	1	1
779	779	0	2	2	1	1	1	2
780	780	1	0	0	1	2	1	5
781	781	1	5	1	2	1	0	0
782	782	2	1	2	3	1	1	0
783	783	1	1	2	1	2	0	3
784	784	1	2	2	1	1	2	1
785	785	3	1	1	0	1	2	1
786	786	0	1	2	2	2	0	0
787	787	0	1	1	1	1	2	0
788	788	2	1	1	2	2	1	1
789	789	0	1	1	4	3	1	0
790	790	1	2	1	1	3	1	1
791	791	2	3	1	1	1	1	1
792	792	2	2	2	1	1	1	1
793	793	3	1	1	0	1	1	1
794	794	1	4	1	0	4	0	0
795	795	1	1	1	1	4	1	1
796	796	2	1	1	1	2	2	1
797	797	0	2	1	1	1	3	2
798	798	2	1	1	2	2	1	1
799	799	3	1	2	1	1	1	1
800	800	1	1	1	2	1	1	1
801	801	2	1	1	3	2	1	0
802	802	3	1	1	2	1	1	1
803	803	1	1	1	3	2	1	1
804	804	1	2	2	0	3	1	1
805	805	2	1	1	2	2	1	1
806	806	1	1	4	0	2	1	1
807	807	2	2	1	2	2	0	1
808	808	1	2	2	1	2	1	1
809	809	2	2	2	1	1	1	1
810	810	1	2	1	0	1	2	1
811	811	1	1	2	1	1	0	2
812	812	2	1	1	1	1	3	1
813	813	2	1	1	1	3	1	1
814	814	1	1	1	1	1	1	1
815	815	2	1	1	2	1	1	1
816	816	2	1	1	2	2	1	1
817	817	2	2	1	1	2	1	1
818	818	3	1	1	1	1	2	1
819	819	0	1	3	3	3	0	0
820	820	4	1	1	1	1	1	1
821	821	3	1	1	1	1	1	2
822	822	2	2	1	1	2	1	1
823	823	1	1	1	1	1	1	1
824	824	1	1	1	2	1	1	1
825	825	3	1	1	1	1	1	2
826	826	2	1	1	1	3	1	1
827	827	3	3	2	0	0	1	1
828	828	1	2	2	1	1	2	1
829	829	2	1	2	1	1	1	0
830	830	3	2	1	1	1	1	1
831	831	2	1	1	1	1	1	1
832	832	2	1	0	1	1	1	1
833	833	1	1	1	1	1	4	1
834	834	2	1	2	1	0	4	0
835	835	0	0	2	2	4	2	0
836	836	2	1	1	1	1	1	3
837	837	2	1	2	2	1	1	1
838	838	2	1	1	0	1	1	1
839	839	2	1	1	0	1	1	1
840	840	2	1	1	1	2	1	1
841	841	1	1	1	1	1	1	1
842	842	1	1	1	3	3	1	0
843	843	2	1	1	1	3	1	1
844	844	1	2	1	2	2	1	1
845	845	2	1	1	4	1	1	0
846	846	3	2	1	1	1	1	1
847	847	2	2	1	1	2	1	1
848	848	1	2	6	0	1	0	0
849	849	2	1	1	3	1	1	1
850	850	2	1	1	3	1	1	1
851	851	2	1	1	0	1	1	1
852	852	3	0	3	1	1	1	1
853	853	2	1	1	1	3	1	1
854	854	4	1	1	1	0	1	2
855	855	2	1	2	1	2	1	1
856	856	0	3	2	1	2	1	1
857	857	1	2	1	2	2	1	1
858	858	0	2	2	3	3	0	0
859	859	1	1	1	1	1	1	2
860	860	1	2	2	2	1	2	0
861	861	2	1	1	2	2	1	1
862	862	1	1	2	1	1	1	3
863	863	1	2	2	1	2	1	1
864	864	1	2	1	2	2	1	1
865	865	0	1	1	1	1	3	0
866	866	1	2	1	1	2	1	1
867	867	4	1	1	1	1	1	1
868	868	1	1	1	1	1	1	1
869	869	1	1	1	0	2	5	0
870	870	2	1	2	2	1	1	1
871	871	1	1	2	3	2	1	0
872	872	1	2	3	0	2	1	1
873	873	1	1	1	1	1	1	1
874	874	1	2	2	1	2	1	1
875	875	1	1	2	2	2	0	2
876	876	1	2	1	1	2	2	1
877	877	2	2	2	0	2	1	1
878	878	2	1	1	0	2	1	2
879	879	0	1	5	1	1	1	1
880	880	1	1	1	1	1	1	1
881	881	2	1	1	2	2	1	1
882	882	1	1	1	1	2	1	2
883	883	1	1	1	1	1	1	1
884	884	1	2	1	2	2	1	1
885	885	2	2	1	1	2	1	1
886	886	2	2	2	2	0	1	1
887	887	1	1	1	1	1	1	0
888	888	3	1	1	1	1	2	1
889	889	0	1	2	0	2	0	5
890	890	1	1	2	1	1	1	0
891	891	1	2	3	0	0	1	3
892	892	1	2	1	1	1	2	1
893	893	3	1	2	2	0	1	1
894	894	4	1	1	1	1	1	1
895	895	3	2	1	0	2	1	1
896	896	1	1	1	1	2	2	2
897	897	2	2	2	1	0	2	0
898	898	3	1	1	2	1	1	1
899	899	2	1	1	2	2	1	1
900	900	2	0	3	1	1	2	1
901	901	2	2	2	1	1	1	1
902	902	0	0	2	1	0	3	4
903	903	1	2	2	0	2	1	1
904	904	2	1	1	1	2	1	2
905	905	3	1	1	1	2	1	1
906	906	1	1	5	0	2	1	0
907	907	3	2	1	1	1	1	1
908	908	1	0	4	0	2	1	2
909	909	4	1	1	1	1	1	1
910	910	1	1	1	0	2	1	1
911	911	2	1	1	1	1	1	1
912	912	2	1	1	1	1	1	1
913	913	3	1	1	2	1	1	1
914	914	1	2	2	1	1	1	0
915	915	1	2	1	1	2	1	1
916	916	1	1	1	2	3	1	1
917	917	2	2	2	1	1	1	1
918	918	1	1	1	1	1	2	1
919	919	1	1	1	1	1	1	1
920	920	3	1	2	1	1	1	1
921	921	2	1	2	1	2	1	1
922	922	2	1	1	2	1	1	2
923	923	2	2	2	1	2	1	0
924	924	1	1	1	1	1	1	1
925	925	2	2	1	1	1	2	1
926	926	2	3	1	1	1	1	1
927	927	1	1	1	2	3	1	1
928	928	3	1	1	1	2	1	1
929	929	2	1	1	1	2	1	1
930	930	3	1	1	2	1	1	1
931	931	2	2	4	1	1	0	0
932	932	2	1	1	3	2	1	0
933	933	0	2	2	2	2	1	1
934	934	1	0	1	3	3	1	1
935	935	2	2	1	1	1	1	2
936	936	1	2	2	2	1	1	1
937	937	1	3	3	1	1	1	0
938	938	2	1	1	1	2	1	2
939	939	1	1	1	1	1	4	1
940	940	4	1	1	1	1	1	1
941	941	2	1	1	2	2	1	1
942	942	2	2	1	1	2	1	1
943	943	2	2	1	2	1	1	1
944	944	2	1	1	1	1	1	1
945	945	2	0	1	1	1	1	1
946	946	2	2	3	1	0	1	1
947	947	4	1	1	1	1	1	1
948	948	3	1	1	1	2	1	1
949	949	1	3	3	0	1	1	1
950	950	1	1	1	1	1	1	4
951	951	1	1	1	0	1	1	2
952	952	2	1	1	2	1	1	1
953	953	2	1	1	3	2	1	0
954	954	2	0	2	3	1	1	1
955	955	2	2	1	1	2	1	1
956	956	1	2	2	2	1	1	1
957	957	4	1	1	1	1	1	1
958	958	2	1	1	2	2	1	1
959	959	2	2	2	1	1	1	1
960	960	2	1	4	1	1	0	1
961	961	0	1	1	2	2	1	1
962	962	1	1	1	2	3	1	1
963	963	2	2	2	1	2	1	0
964	964	2	1	1	1	2	1	2
965	965	2	1	1	1	2	2	1
966	966	3	1	1	1	2	1	1
967	967	3	2	1	1	1	1	1
968	968	3	1	1	1	1	1	2
969	969	2	2	1	2	1	1	1
970	970	3	1	1	1	1	2	1
971	971	2	2	1	1	1	1	2
972	972	1	1	1	2	2	2	1
973	973	2	2	1	2	1	1	1
974	974	1	2	2	1	2	1	1
975	975	1	2	3	1	2	1	0
976	976	1	2	1	2	2	1	1
977	977	3	2	1	1	1	1	1
978	978	3	1	1	1	1	1	2
979	979	2	2	1	1	1	1	2
980	980	2	1	1	1	1	1	1
981	981	1	1	1	1	1	1	1
982	982	1	1	1	3	2	1	1
983	983	1	1	1	1	1	1	4
984	984	0	0	1	2	1	3	2
985	985	1	1	2	2	2	1	1
986	986	0	1	2	0	1	3	3
987	987	2	2	1	2	1	1	1
988	988	2	2	1	1	1	1	1
989	989	1	1	1	1	1	1	1
990	990	1	1	1	1	2	1	3
991	991	2	1	1	1	2	1	2
992	992	2	1	1	2	2	1	1
993	993	2	2	2	1	1	1	1
994	994	1	1	1	2	3	1	1
995	995	3	1	1	1	2	1	1
996	996	2	1	1	2	1	2	1
997	997	2	1	1	1	1	2	2
998	998	3	1	1	1	2	1	1
999	999	1	1	1	1	1	1	1
1000	1000	3	1	1	1	2	1	1
1001	1001	2	1	2	1	1	0	3
1002	1002	4	1	1	1	1	1	1
1003	1003	2	2	1	1	1	1	2
1004	1004	2	1	1	1	2	1	0
1005	1005	1	1	2	1	2	1	1
1006	1006	1	2	2	1	1	0	0
1007	1007	2	1	2	1	1	2	1
1008	1008	1	2	1	2	1	1	1
1009	1009	1	1	2	1	1	1	2
1010	1010	1	1	1	2	3	0	2
1011	1011	1	2	1	2	1	1	2
1012	1012	2	1	1	2	2	1	1
1013	1013	2	1	1	1	2	1	1
1014	1014	2	3	1	1	1	1	1
1015	1015	1	1	1	1	2	1	1
1016	1016	1	1	1	3	1	1	2
1017	1017	2	3	1	1	1	1	1
1018	1018	1	2	1	2	3	1	0
1019	1019	1	1	1	1	2	2	2
1020	1020	2	1	1	2	2	1	1
1021	1021	2	2	1	2	1	1	1
1022	1022	3	1	1	1	2	1	1
1023	1023	4	1	1	1	2	1	0
1024	1024	1	1	1	4	1	1	1
1025	1025	0	2	1	1	3	1	2
1026	1026	2	1	2	1	2	1	1
1027	1027	1	1	1	4	1	1	0
1028	1028	2	3	1	1	1	1	1
1029	1029	1	1	3	1	2	1	1
1030	1030	1	1	1	1	2	1	1
1031	1031	2	2	1	1	2	1	1
1032	1032	0	1	1	2	1	1	1
1033	1033	2	1	2	1	1	1	2
1034	1034	4	1	1	1	1	1	1
1035	1035	1	2	1	1	2	2	1
1036	1036	1	1	2	2	1	2	1
1037	1037	2	2	1	1	1	1	2
1038	1038	1	2	1	1	1	1	1
1039	1039	2	1	1	1	1	1	3
1040	1040	1	2	1	2	1	1	1
1041	1041	2	1	1	2	2	1	1
1042	1042	3	1	1	2	1	1	1
1043	1043	1	2	2	1	2	1	1
1044	1044	1	1	1	1	3	1	1
1045	1045	2	1	1	2	1	1	2
1046	1046	2	1	1	2	2	1	1
1047	1047	1	2	1	1	3	1	1
1048	1048	2	1	1	2	3	1	0
1049	1049	2	1	1	1	1	1	1
1050	1050	0	1	1	2	1	1	4
1051	1051	1	1	1	2	2	1	1
1052	1052	2	1	0	1	2	1	1
1053	1053	1	0	3	4	1	0	0
1054	1054	3	1	1	1	1	1	1
1055	1055	2	1	1	1	2	1	1
1056	1056	0	2	2	2	1	1	1
1057	1057	2	1	1	1	2	1	1
1058	1058	1	2	2	1	2	1	0
1059	1059	3	0	1	1	0	2	2
1060	1060	2	3	1	1	1	1	0
1061	1061	1	3	2	1	2	0	0
1062	1062	2	2	1	1	2	1	0
1063	1063	1	1	1	2	1	3	0
1064	1064	0	2	3	1	1	1	1
1065	1065	1	2	2	1	1	1	1
1066	1066	4	0	1	1	1	1	1
1067	1067	2	1	1	2	1	1	1
1068	1068	3	1	1	1	2	1	0
1069	1069	3	1	1	1	1	1	1
1070	1070	2	1	1	2	1	1	1
1071	1071	3	1	1	1	1	1	1
1072	1072	0	1	2	2	2	2	0
1073	1073	1	1	1	2	2	2	0
1074	1074	2	0	1	0	1	1	1
1075	1075	2	1	3	1	1	1	0
1076	1076	2	1	2	1	1	1	1
1077	1077	1	2	2	1	1	1	1
1078	1078	3	1	1	1	1	1	1
1079	1079	2	1	1	2	2	0	1
1080	1080	2	1	1	2	3	0	0
1081	1081	3	1	2	0	0	1	2
1082	1082	1	1	1	1	1	1	3
1083	1083	1	1	1	2	1	1	1
1084	1084	1	1	1	1	1	2	1
1085	1085	2	1	1	1	2	1	1
1086	1086	0	1	2	2	4	0	0
1087	1087	3	1	1	1	1	1	1
1088	1088	0	2	1	2	2	1	1
1089	1089	1	2	3	1	1	1	0
1090	1090	1	1	1	2	2	1	1
1091	1091	3	1	1	0	2	1	1
1092	1092	2	1	1	2	1	1	1
1093	1093	1	2	3	1	1	1	0
1094	1094	2	1	2	1	0	1	2
1095	1095	1	3	1	1	1	1	1
1096	1096	1	1	1	1	3	1	1
1097	1097	1	1	1	2	2	1	1
1098	1098	2	1	2	1	1	2	0
1099	1099	4	3	1	0	1	0	0
1100	1100	3	1	2	1	0	0	2
1101	1101	2	1	1	1	1	1	2
1102	1102	0	1	1	1	1	1	1
1103	1103	2	1	1	1	1	1	1
1104	1104	1	1	1	2	2	1	1
1105	1105	1	1	2	1	3	1	0
1106	1106	2	1	2	1	1	1	1
1107	1107	2	1	1	3	1	1	0
1108	1108	2	2	1	0	1	2	1
1109	1109	1	2	1	1	1	2	1
1110	1110	1	1	3	0	1	2	1
1111	1111	2	1	1	1	2	1	1
1112	1112	2	2	1	1	1	1	1
1113	1113	2	1	1	1	1	2	1
1114	1114	0	2	2	2	2	1	0
1115	1115	2	1	1	1	2	1	1
1116	1116	3	1	1	1	1	1	1
1117	1117	2	1	1	2	1	1	1
1118	1118	2	1	1	1	2	1	1
1119	1119	0	3	4	1	1	0	0
1120	1120	1	2	1	2	1	1	1
1121	1121	2	2	1	1	0	2	1
1122	1122	0	2	2	1	2	1	0
1123	1123	1	2	1	1	2	1	1
1124	1124	3	1	1	1	1	1	1
1125	1125	1	1	1	1	3	1	1
1126	1126	3	0	4	1	1	0	0
1127	1127	1	1	1	0	1	2	3
1128	1128	1	2	3	1	1	1	0
1129	1129	2	0	3	1	2	1	0
1130	1130	1	2	1	2	1	1	1
1131	1131	2	2	1	0	2	1	1
1132	1132	1	1	1	1	3	1	1
1133	1133	3	1	1	1	1	1	1
1134	1134	0	1	1	2	4	1	0
1135	1135	0	2	3	1	2	1	0
1136	1136	0	1	1	2	1	1	1
1137	1137	3	1	1	1	1	1	1
1138	1138	2	2	1	1	1	1	1
1139	1139	0	3	3	1	2	0	0
1140	1140	2	1	2	1	1	1	1
1141	1141	1	0	3	0	1	3	1
1142	1142	2	1	3	1	1	1	0
1143	1143	1	1	1	1	1	2	1
1144	1144	1	1	1	1	1	1	0
1145	1145	1	0	1	1	1	3	2
1146	1146	1	2	1	1	2	1	1
1147	1147	0	1	1	1	1	1	1
1148	1148	2	2	1	1	1	1	1
1149	1149	1	2	1	1	2	1	1
1150	1150	0	2	1	1	1	1	1
1151	1151	3	1	1	1	1	1	1
1152	1152	0	1	1	2	2	1	2
1153	1153	2	1	1	0	1	1	1
1154	1154	1	3	2	1	0	1	1
1155	1155	2	1	1	1	1	1	2
1156	1156	0	0	1	2	1	2	3
1157	1157	2	1	1	1	2	1	1
1158	1158	0	2	2	1	2	1	1
1159	1159	1	2	2	2	2	0	0
1160	1160	1	1	2	2	1	1	1
1161	1161	0	1	1	1	3	1	2
1162	1162	3	1	2	1	1	1	0
1163	1163	3	1	1	1	1	1	1
1164	1164	2	1	1	1	1	2	1
1165	1165	1	3	2	1	1	1	0
1166	1166	2	1	1	2	2	1	0
1167	1167	2	1	1	1	2	1	1
1168	1168	1	2	1	2	1	0	1
1169	1169	3	1	1	1	1	1	1
1170	1170	1	2	2	1	1	1	1
1171	1171	1	1	2	1	1	2	1
1172	1172	0	0	3	1	2	1	2
1173	1173	5	1	1	1	0	1	0
1174	1174	0	2	1	2	1	2	1
1175	1175	1	0	2	5	1	0	0
1176	1176	2	2	1	1	1	1	1
1177	1177	1	2	2	1	1	1	1
1178	1178	1	1	1	1	1	1	0
1179	1179	2	2	1	1	1	1	1
1180	1180	0	2	2	1	1	1	1
1181	1181	1	2	2	1	1	1	1
1182	1182	2	1	1	1	1	1	1
1183	1183	3	1	1	0	2	1	1
1184	1184	1	2	1	1	2	1	1
1185	1185	3	1	1	1	1	1	1
1186	1186	0	2	2	2	2	1	0
1187	1187	2	1	1	1	1	2	1
1188	1188	2	1	1	1	1	2	1
1189	1189	2	2	1	1	1	1	1
1190	1190	2	1	2	0	2	1	1
1191	1191	3	1	1	1	1	1	1
1192	1192	0	3	1	1	2	1	1
1193	1193	1	1	1	2	3	0	1
1194	1194	2	2	1	0	1	0	3
1195	1195	2	1	1	2	1	1	1
1196	1196	1	2	1	2	1	1	1
1197	1197	1	2	2	1	2	1	0
1198	1198	1	1	1	1	1	1	1
1199	1199	1	1	2	2	1	1	1
1200	1200	1	2	1	1	2	1	1
1201	1201	2	2	1	1	1	1	1
1202	1202	0	2	1	1	2	1	0
1203	1203	0	2	2	3	1	1	0
1204	1204	2	1	3	1	1	0	1
1205	1205	0	1	1	3	2	2	0
1206	1206	1	2	2	1	1	1	1
1207	1207	2	3	0	1	1	1	1
1208	1208	1	1	1	2	1	1	2
1209	1209	1	1	2	1	1	2	1
1210	1210	1	2	2	1	1	1	1
1211	1211	0	3	1	1	2	1	1
1212	1212	1	1	1	2	1	1	1
1213	1213	2	1	1	1	1	1	0
1214	1214	1	0	1	1	1	1	0
1215	1215	1	2	1	1	2	0	1
1216	1216	3	1	1	1	1	1	1
1217	1217	1	1	1	1	1	1	1
1218	1218	2	2	1	1	2	1	0
1219	1219	1	1	1	1	2	1	2
1220	1220	2	1	1	2	1	1	1
1221	1221	2	1	1	2	1	1	1
1222	1222	2	1	1	2	1	1	1
1223	1223	3	1	1	1	1	1	1
1224	1224	3	1	1	0	2	1	1
1225	1225	0	0	1	1	2	2	3
1226	1226	2	1	1	1	2	1	1
1227	1227	0	0	1	3	2	1	1
1228	1228	0	3	2	1	1	1	1
1229	1229	0	1	1	1	1	1	0
1230	1230	2	1	1	3	1	1	0
1231	1231	2	2	1	1	1	1	1
1232	1232	3	1	1	1	1	1	1
1233	1233	3	1	1	1	1	1	1
1234	1234	1	1	1	2	2	1	1
1235	1235	4	1	1	1	1	1	0
1236	1236	2	1	1	2	1	2	0
1237	1237	0	1	1	1	1	1	1
1238	1238	1	1	1	4	2	0	0
1239	1239	1	2	2	1	1	1	1
1240	1240	2	2	1	1	1	1	1
1241	1241	2	2	1	1	1	1	1
1242	1242	2	1	1	2	1	1	1
1243	1243	1	1	1	2	1	1	2
1244	1244	0	1	1	1	1	1	4
1245	1245	0	2	1	2	1	1	2
1246	1246	3	1	1	1	1	1	1
1247	1247	2	1	1	1	1	2	1
1248	1248	3	1	1	1	1	1	1
1249	1249	3	1	2	1	0	0	2
1250	1250	1	2	1	1	2	1	1
1251	1251	2	1	1	2	1	1	1
1252	1252	2	1	2	0	1	1	2
1253	1253	1	2	1	2	1	1	1
1254	1254	2	1	1	0	1	3	1
1255	1255	1	2	1	0	1	1	3
1256	1256	1	2	1	1	2	1	1
1257	1257	2	2	1	1	1	1	1
1258	1258	2	1	1	1	1	1	1
1259	1259	3	1	1	1	1	1	1
1260	1260	3	2	1	0	1	1	1
1261	1261	3	1	1	1	1	1	1
1262	1262	2	1	1	2	1	1	1
1263	1263	2	2	0	1	1	1	2
1264	1264	0	1	2	2	2	1	1
1265	1265	2	2	1	1	1	1	1
1266	1266	2	1	1	1	2	1	1
1267	1267	1	1	1	2	1	2	1
1268	1268	1	1	1	2	2	1	1
1269	1269	0	3	1	1	2	1	1
1270	1270	1	1	2	2	1	1	1
1271	1271	2	1	2	1	1	1	1
1272	1272	2	1	1	1	1	1	2
1273	1273	3	1	1	1	1	1	1
1274	1274	2	2	1	1	1	1	1
1275	1275	2	1	3	1	1	1	0
1276	1276	2	1	1	1	2	1	1
1277	1277	3	1	1	1	1	1	1
1278	1278	2	1	1	1	2	1	1
1279	1279	2	1	1	1	2	1	1
1280	1280	0	2	1	1	2	2	1
1281	1281	3	0	1	1	1	2	1
1282	1282	2	1	1	0	3	1	1
1283	1283	2	1	1	2	1	1	1
1284	1284	1	2	1	2	1	1	1
1285	1285	1	1	2	1	1	2	1
1286	1286	1	1	1	1	1	1	3
1287	1287	0	1	1	2	5	0	0
1288	1288	1	1	1	1	1	3	1
1289	1289	2	1	1	2	1	2	0
1290	1290	2	1	1	1	2	1	1
1291	1291	2	1	1	1	2	1	1
1292	1292	4	0	1	1	1	1	1
1293	1293	1	1	1	1	2	2	1
1294	1294	2	1	1	1	2	1	1
1295	1295	1	1	1	1	2	1	1
1296	1296	4	1	1	1	1	1	0
1297	1297	2	1	1	2	1	2	0
1298	1298	3	1	1	1	1	1	1
1299	1299	3	1	1	1	1	1	1
1300	1300	3	1	1	1	1	1	1
1301	1301	2	1	1	1	1	1	1
1302	1302	1	2	0	2	1	1	1
1303	1303	1	2	2	1	1	1	1
1304	1304	2	2	1	1	1	1	1
1305	1305	1	1	1	2	2	1	1
1306	1306	2	1	1	2	1	1	1
1307	1307	2	1	1	1	2	1	1
1308	1308	2	1	1	2	1	1	1
1309	1309	1	2	2	1	1	1	1
1310	1310	3	1	1	1	1	1	1
1311	1311	2	2	1	1	1	1	1
1312	1312	0	2	1	0	3	2	1
1313	1313	1	2	1	1	2	1	1
1314	1314	1	1	1	1	3	1	1
1315	1315	2	1	1	2	2	1	0
1316	1316	2	2	1	1	1	1	1
1317	1317	2	1	1	0	2	1	2
1318	1318	2	2	2	1	1	1	0
1319	1319	1	2	1	2	1	2	0
1320	1320	3	1	1	1	1	1	1
1321	1321	2	1	1	2	1	1	1
1322	1322	2	2	1	0	1	1	2
1323	1323	1	1	2	1	2	1	1
1324	1324	1	1	1	1	2	1	2
1325	1325	2	2	2	0	1	1	1
1326	1326	1	1	2	0	3	1	1
1327	1327	2	2	1	1	1	1	1
1328	1328	2	1	1	1	2	1	1
1329	1329	1	1	2	2	2	1	0
1330	1330	1	1	1	1	3	1	1
1331	1331	1	1	3	1	1	1	1
1332	1332	1	1	2	1	1	2	1
1333	1333	1	2	3	1	1	1	0
1334	1334	3	2	1	1	1	1	0
1335	1335	1	2	2	1	1	1	1
1336	1336	1	1	1	1	1	2	2
1337	1337	0	1	1	1	1	1	3
1338	1338	2	2	1	1	1	1	1
1339	1339	1	2	2	1	1	1	1
1340	1340	2	2	1	1	1	1	1
1341	1341	2	1	2	1	1	1	1
1342	1342	2	1	1	1	1	2	1
1343	1343	1	1	1	2	2	1	1
1344	1344	0	1	3	0	1	4	0
1345	1345	2	1	1	1	2	1	1
1346	1346	0	1	1	1	2	2	2
1347	1347	0	2	1	2	1	2	1
1348	1348	3	1	1	1	1	1	1
1349	1349	2	1	1	2	1	1	1
1350	1350	0	1	2	2	2	1	1
1351	1351	1	1	1	2	0	1	3
1352	1352	2	2	1	1	1	1	1
1353	1353	1	1	1	1	2	2	1
1354	1354	2	1	1	1	1	2	1
1355	1355	1	1	0	1	4	1	1
1356	1356	2	1	0	2	1	1	2
1357	1357	1	1	1	1	0	3	2
1358	1358	3	1	1	1	1	1	1
1359	1359	1	2	2	1	1	1	1
1360	1360	1	2	2	1	1	1	1
1361	1361	2	1	1	1	2	1	1
1362	1362	2	1	1	0	1	1	3
1363	1363	1	2	2	1	1	1	1
1364	1364	0	1	0	1	1	5	1
1365	1365	2	1	1	2	1	1	1
1366	1366	2	1	1	1	2	1	1
1367	1367	2	2	1	1	1	1	1
1368	1368	2	1	1	1	1	2	1
1369	1369	1	2	2	1	2	1	0
1370	1370	3	1	1	2	1	1	0
1371	1371	3	1	1	1	1	1	1
1372	1372	2	2	1	1	1	1	1
1373	1373	2	1	1	2	1	1	1
1374	1374	2	1	1	1	2	1	1
1375	1375	2	1	1	2	2	1	0
1376	1376	4	1	1	1	0	1	1
1377	1377	2	2	1	1	1	1	1
1378	1378	1	2	2	1	2	1	0
1379	1379	2	1	1	1	2	1	1
1380	1380	1	1	1	2	2	1	1
1381	1381	1	1	1	3	2	0	1
1382	1382	0	2	1	1	2	2	1
1383	1383	2	1	1	1	2	1	1
1384	1384	2	1	1	1	2	1	1
1385	1385	1	1	1	2	2	1	1
1386	1386	1	1	1	2	2	1	1
1387	1387	1	1	1	2	1	1	2
1388	1388	0	1	1	1	4	1	1
1389	1389	3	1	1	1	1	1	1
1390	1390	1	1	1	1	1	3	1
1391	1391	2	1	1	1	2	1	1
1392	1392	3	1	1	1	1	1	1
1393	1393	3	0	1	2	1	1	1
1394	1394	1	1	1	2	2	1	1
1395	1395	0	2	1	1	3	1	1
1396	1396	2	1	1	1	2	1	1
1397	1397	1	1	1	1	1	1	3
1398	1398	2	1	1	1	1	1	2
1399	1399	1	1	2	1	2	1	1
1400	1400	2	1	1	1	2	1	1
1401	1401	2	2	1	1	1	1	1
1402	1402	1	1	1	2	1	1	2
1403	1403	2	1	1	2	1	1	1
1404	1404	0	1	1	1	1	1	1
1405	1405	1	1	1	2	1	1	2
1406	1406	2	2	1	1	1	1	1
1407	1407	2	1	1	1	1	1	2
1408	1408	1	1	1	2	2	1	1
1409	1409	1	1	1	2	1	1	2
1410	1410	1	1	1	2	1	1	1
1411	1411	2	2	1	1	0	2	1
1412	1412	1	1	1	2	2	1	1
1413	1413	1	2	1	1	1	1	2
1414	1414	1	2	2	1	1	1	1
1415	1415	0	2	1	2	2	1	1
1416	1416	0	0	2	1	2	1	1
1417	1417	0	1	1	1	1	1	2
1418	1418	2	2	1	1	1	1	1
1419	1419	2	2	1	1	1	1	1
1420	1420	2	0	2	2	2	0	1
1421	1421	1	1	1	2	2	1	1
1422	1422	1	2	2	1	1	1	1
1423	1423	1	1	1	1	1	3	1
1424	1424	2	1	1	1	1	1	2
1425	1425	2	1	1	1	2	1	1
1426	1426	2	1	1	1	2	1	1
1427	1427	2	2	1	1	1	1	1
1428	1428	1	1	1	2	1	2	1
1429	1429	1	1	1	1	2	2	1
1430	1430	2	1	2	1	1	1	1
1431	1431	0	2	1	1	1	3	1
1432	1432	3	1	1	1	1	1	1
1433	1433	1	1	1	1	1	1	3
1434	1434	0	1	1	1	2	1	1
1435	1435	3	1	1	0	1	1	2
1436	1436	1	1	1	1	1	1	2
1437	1437	2	1	1	1	2	1	1
1438	1438	1	2	2	1	1	1	1
1439	1439	3	1	1	1	1	1	1
1440	1440	1	1	1	2	1	1	0
1441	1441	2	1	1	1	2	1	1
1442	1442	3	1	1	0	2	1	1
1443	1443	0	1	2	1	2	3	0
1444	1444	2	1	1	2	1	1	1
1445	1445	2	2	1	1	1	1	1
1446	1446	1	2	1	1	1	1	1
1447	1447	2	1	1	1	2	1	1
1448	1448	1	1	1	3	1	1	1
1449	1449	1	1	1	1	1	1	3
1450	1450	1	2	2	1	2	1	0
1451	1451	1	1	0	1	1	1	1
1452	1452	2	1	1	1	2	1	1
1453	1453	2	1	1	2	2	1	0
1454	1454	1	2	1	2	2	1	0
1455	1455	1	2	1	1	2	1	1
1456	1456	2	1	1	2	1	1	1
1457	1457	2	2	1	0	0	1	3
1458	1458	2	2	1	1	1	1	1
1459	1459	1	2	1	1	1	1	2
1460	1460	2	2	1	0	1	2	1
1461	1461	0	2	1	2	0	3	1
1462	1462	1	2	1	1	2	1	1
1463	1463	1	1	1	2	4	0	0
1464	1464	1	1	1	1	3	1	1
1465	1465	3	1	1	1	1	1	1
1466	1466	0	1	1	1	1	4	1
1467	1467	1	1	1	1	2	1	2
1468	1468	2	1	1	1	2	1	1
1469	1469	2	1	1	1	2	1	1
1470	1470	2	1	1	1	1	1	2
1471	1471	1	1	2	1	1	2	1
1472	1472	1	1	1	2	2	1	1
1473	1473	2	1	1	0	1	3	1
1474	1474	3	1	1	1	1	1	1
