model_id,gene,isoform
241233,DN12450_c0_g1,1
241234,DN12487_c0_g1,1
241235,DN12485_c0_g1,1
241236,DN12451_c0_g1,1
241237,DN12429_c0_g1,1
241238,DN12402_c0_g1,1
241239,DN12439_c0_g1,1
241240,DN12434_c0_g1,1
241241,DN12491_c0_g1,1
241242,DN12459_c0_g1,1
241243,DN12466_c0_g1,1
241244,DN12452_c0_g1,1
241245,DN12453_c0_g1,1
241246,DN12431_c0_g1,1
241247,DN12489_c0_g1,1
241248,DN12474_c0_g1,1
241249,DN12437_c0_g1,1
241250,DN12448_c0_g1,1
241251,DN12445_c0_g1,1
241252,DN12401_c0_g1,1
241253,DN12436_c0_g1,1
241254,DN12460_c0_g1,1
241255,DN12411_c0_g1,1
241256,DN12493_c0_g1,1
241257,DN12490_c0_g1,1
241258,DN12476_c0_g1,1
241259,DN12461_c0_g1,1
241260,DN12492_c0_g1,1
241261,DN12467_c0_g1,1
241262,DN12419_c0_g1,1
241263,DN12424_c0_g1,1
241264,DN12462_c0_g1,1
241265,DN12495_c0_g1,1
241266,DN12468_c0_g1,1
241267,DN12444_c0_g1,1
241268,DN12415_c0_g1,1
241269,DN12416_c0_g1,1
241270,DN12405_c0_g1,1
241271,DN12435_c0_g1,1
241272,DN12469_c0_g1,1
241273,DN12480_c0_g1,1
241274,DN12409_c0_g1,1
241275,DN12488_c0_g1,1
241276,DN12413_c0_g1,1
241277,DN12497_c0_g1,1
241278,DN12407_c0_g1,1
241279,DN12433_c0_g1,1
241280,DN12494_c0_g1,1
241281,DN12470_c0_g1,1
241282,DN12410_c0_g1,1
241283,DN12432_c0_g1,1
241284,DN12446_c0_g1,1
241285,DN4725_c0_g1,1
241286,DN4747_c0_g1,1
241287,DN4747_c0_g2,1
241288,DN4709_c0_g1,1
241289,DN4709_c0_g2,1
241290,DN4706_c0_g1,1
241291,DN4715_c0_g1,1
241292,DN4722_c0_g1,1
241293,DN4722_c0_g2,1
241294,DN4775_c0_g1,1
241295,DN4775_c0_g2,1
241296,DN4791_c0_g1,1
241297,DN4746_c0_g1,1
241298,DN4703_c0_g1,1
241299,DN4749_c0_g1,1
241300,DN4749_c0_g1,2
241301,DN4773_c0_g1,1
241302,DN4727_c0_g1,1
241303,DN4724_c0_g1,1
241304,DN4724_c0_g1,2
241305,DN4778_c0_g1,1
241306,DN4778_c0_g1,2
241307,DN4776_c0_g1,1
241308,DN4764_c0_g1,1
241309,DN4764_c0_g2,1
241310,DN4762_c0_g1,1
241311,DN4721_c0_g1,1
241312,DN4796_c0_g1,1
241313,DN4796_c0_g1,2
241314,DN4781_c0_g1,1
241315,DN4788_c0_g1,1
241316,DN4743_c0_g1,1
241317,DN4707_c0_g1,1
241318,DN4748_c0_g1,1
241319,DN4799_c0_g1,1
241320,DN4786_c0_g1,1
241321,DN4720_c0_g1,1
241322,DN4720_c0_g1,2
241323,DN4700_c0_g1,1
241324,DN4729_c0_g1,1
241325,DN4755_c0_g1,1
241326,DN4755_c0_g2,1
241327,DN4734_c0_g1,1
241328,DN4765_c0_g1,1
241329,DN4768_c0_g1,1
241330,DN4730_c0_g1,1
241331,DN4798_c0_g1,1
241332,DN4798_c0_g2,1
241333,DN4782_c0_g1,1
